Rose Beauty Parlour,(021) 34977970,"A-573 Allama Shabbir Ahmed Usmani Rd, Block 3 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",http://www.roseparlour.com/
Shehla Beauty Parlour,0315 2019878,"Block 5 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300",Not found
Mehreen Beauty Parlour,Not found,"Park View Apartments, Block 10 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",Not found
Excellency Beauty Parlor and GYM,(021) 34980388,"FL8/6A, B/7 Near KFC Gulshan-e- iqbal karachiØŒ Block 7 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",http://excellencybeautyclinic.com/
Najlas Beauty Parlor,0336 2542923,"Block 3 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",http://www.najlasparlour.com/
Zara's Beauty Parlour,(021) 36628949,"B-226, Block L North Nazimabad Town, Karachi, Karachi City, Sindh",Not found
Rukhsar Beauty Parlor,(021) 36327944,"Ali Heights, Federal B Area Dastagir Block 7 Gulberg Town, Karachi, Karachi City, Sindh 75950",https://rukhsarbeauty.business.site/
Crimson Beauty Parlour,(021) 34834206,"Plot B 58, Block 6 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",http://facebook.com/crimsonbeautyparlour
Sapna Group's Bluebell Beauty Parlor,Not found,"Federal B Area Azizabad Block 8 Gulberg Town, Karachi, Karachi City, Sindh",Not found
New Look Beauty Parlor,Not found,"FB Indus-Area Block 21 Block 21 Gulberg Town, Karachi, Karachi City, Sindh",Not found
mishis beauty parlour,0311 2273877,"Shop No. 9, Qasim Complex, Opposite Balochistan Sajji, Service Road, Block 18 Gulistan-e-Johar, Karachi, Karachi City, Sindh",http://www.mishisbeauty.com/
Rose Beauty Parlor,(021) 34774080,"Tariq Rd, P.E.C.H.S Block 2 Block 2 PECHS, Karachi, Karachi City, Sindh",http://www.roseparlour.com/
Najla Beauty Parlour,0331 2099940,"Block 8 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",Not found
